H+,H
1.50851478686849, 504.803366767871
1.9097271556581346, 513.6065586799987
2.5782574469118176, 3938.556088953885
3.0606581678592253, 568.1609547123626
3.406984592967689, 3877.610914177621
3.5562501851281145, 593.766392726001
4.502088816080991, 782.9503727606543
4.801171987172311, 3804.3920583700256
5.699487564919825, 808.3441955840976
6.078116437904976, 3756.5670253858743
7.215352657336687, 831.1986361251966
7.694683617132584, 3710.0116835428944
9.134385043696104, 851.9369247643422
9.741201336408846, 3663.0331113195243
11.563813175737007, 872.6752134034873
12.332021457669057, 3615.631308715763
14.639384536962792, 895.1064235641961
15.611909453508414, 3568.652736492393
18.5329507113389, 917.1144033445134
19.76413336784886, 3521.674164269023
23.462069815960707, 938.6991527444407
25.02070415828181, 3475.9652831868248
29.702162846212353, 961.9768236659302
31.67533961264697, 3428.9867109634542
37.6019031851471, 985.2544945874201
40.099876215690855, 3382.008138740084
47.60269918611262, 1009.8018566500818
50.76504600038139, 3336.2992576578863
60.26335844347933, 1034.7724490931346
64.26677931769882, 3289.7439158149064
76.29131189995122, 1060.1662719165774
81.35950322666447, 3243.611804352318
96.58214247841022, 1085.5600947400212
112.2210463343435, 3179.704016913319
122.26962695244877, 1113.493299845809
142.06793429314155, 3133.148675070339
154.7890872107424, 1141.4265049515966
179.85305442784528, 3087.0165636077504
195.95759075025916, 1170.6294011985565
227.68769988786318, 3039.6147610039893
248.07548170605872, 1200.678758206298
288.2446942318895, 2993.05941916101
314.05491559714784, 1234.5371886375556
364.9077389501281, 2944.8111557964676
397.58257983591216, 1269.2420798295952
461.9604822233805, 2898.6790443338787
503.3256922230303, 1309.0257355863228
584.825873383916, 2849.161089828164
637.1927878639657, 1353.0416951469583
740.3691773225662, 2800.9128264636215
806.6638663180785, 1401.7131888918911
937.2815801695149, 2752.2413327186887
1021.2083463853488, 1454.6169864407316
1186.5658207193528, 2703.5698389737554
1292.8141823026447, 1511.7530877934792
1502.150982893264, 2651.5125021856966
1636.6577064110431, 1567.6194980050545
1901.6708015735962, 2598.608704636856
2071.951626631824, 1629.4111335421003
2407.4489706701643, 2545.281676707625
2623.0185617224524, 1692.4724602203182
3047.7465087989526, 2488.568805735268
3320.650099503074, 1755.1105565181451
3858.3408807666156, 2427.623630959004
4884.525110345036, 2358.637078955316
5321.898900340084, 1893.930121286302
6183.638587384396, 2276.530385159516
6385.732195577599, 1954.4238503234828
7262.348930031803, 2190.3236470536804
7828.270981431872, 2058.3974471061374
3.4781906513141303, 744.3609022556388
3.3021514849681757, 699.2481203007515
3.3598182862837844, 639.0977443609017
1.2309079138896017, 496.24060150375954

