H2O,H
24.76163643407236, 1835.319472616633
39.04354974340699, 1788.1592292089254
59.69917229586169, 1742.377662271806
94.48266023268268, 1692.0322008113599
149.38114179565827, 1637.5507099391489
230.50272094436576, 1584.4003549695753
358.57290095857365, 1528.3024847870192
569.2220173675853, 1464.4166052000746
853.7643732613773, 1409.9898580121708
1254.849232252328, 1350.8810851926983
1920.660939542471, 1286.7013184584184
2880.759762033521, 1221.412271805275
4234.094662303819, 1158.2467038539562
6223.204671775419, 1093.792258282624
9085.175756516843, 1029.8766058147394
13719.04699090999, 964.186105476675
20576.915858077005, 893.9211460446259
30243.622099142845, 829.9949290060858
45361.785522702834, 768.3362529964979
70851.99979081463, 709.7316983219625
108885.94659281778, 660.8772819472624
172153.3558377701, 617.5202839756603
261015.72156825277, 586.9041582150103
413235.08088419895, 559.3306288032463
685910.7440005041, 528.7317905218524

