He,H
12.345877627025981, 3289.905553083123
22.11794653900089, 3194.7663551401865
38.808241783920174, 3099.305740987984
53.03701314134259, 3048.971962616822
87.42330149530576, 2965.082331998219
153.3932915515417, 2871.357365376057
214.04502113080548, 2818.2272659842747
345.5489699670995, 2737.7125055629726
645.3863626070048, 2638.8331917303876
900.5722233643639, 2588.4468179795285
1484.4538245708536, 2512.0783266577655
2659.4359124052617, 2419.773435287453
3789.0642128031723, 2370.3337783711613
6377.1081635487, 2292.229639519359
11910.608913162114, 2200.187725047538
16969.78738049016, 2151.4493398605546
28560.65866398945, 2078.1664441477524
53343.11837354735, 1991.3840676457494
77600.49817767579, 1943.860385275606
133352.14321633213, 1869.888740542946
259655.5004487094, 1783.6323178379253
369947.3861424555, 1740.1973001038423
649111.2356850026, 1667.9750778816197
1263911.4654141369, 1586.6626208682274
1838665.6490868079, 1542.5952063068216
3294015.1974757463, 1472.4254561637736
6686678.9372284375, 1392.0597159849494
9727395.63235609, 1349.6077309428438
17426870.981548082, 1283.2398753894076
35375638.589467384, 1207.7129101428163
52545323.47907156, 1166.228304405874
100204661.25551355, 1099.8397863818418
203410232.69801912, 1027.3107577780474
302136071.6652311, 988.6860258121933
576177682.612314, 925.1179350244765
1169610625.165678, 858.4795889468778
1773841287.7508667, 820.7862334965139
3453920095.9098377, 763.7027147307517
7309446708.009304, 709.8976412995098
11318832448.435396, 683.2843791722298
24457807456.67079, 638.7360925678677
53960639130.119835, 601.0252053242702
85317453566.0592, 582.3538455314156
196238761130.90988, 553.1108144192258
432956592347.31, 526.6027430513404
684549971223.234, 510.56115224339464

